tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
7853,1.0,PHYS,3803,1478,0.38864054693662897,0.7175236806495263,0.5314864682002708,6.288403247631936,3.1007104194857917,2.8981596752368066,3.217948717948718,2.4615384615384617,3.1162790697674416,2.4743589743589745,0.3333333333333333,3.4799999999999995,0.06854247512340461,"Get ready to read,Test heavy,Tough grader,",0.020510123586642125,78.0
7855,1.0,CHEM,19349,9774,0.5051423846193601,0.8611718845917742,0.8859330877839166,7.689782074892576,3.014609167178228,2.860433972602741,3.7165354330708666,3.9160104986876636,3.238095238095238,4.018372703412074,0.7307692307692307,3.1428571428571432,0.14017665532025464,"Amazing lectures,Caring,Tough grader,Respected,Hilarious,""Skip class? You won t pass."",Test heavy,Get ready to read,Lecture heavy,Lots of homework,Accessible outside class,Inspirational,Clear grading criteria,Gives good feedback,Participation matters,",0.019690940100263583,381.0
7857,1.0,MMW,2529,1579,0.6243574535389482,0.8461108296390121,0.9471678277390756,6.37058898036732,3.3121659278024067,3.067663077897404,2.8837209302325584,4.5348837209302335,3.5087719298245608,4.575581395348837,,3.0,0.28724289946549103,,0.034005535784895215,86.0
7858,1.0,MAE,3328,1333,0.40054086538461536,0.8459977494373595,0.7164388597149287,6.840502625656412,3.4144048582995943,3.1106009615384616,2.864406779661017,3.1694915254237284,3.2285714285714286,2.7118644067796613,0.0,4.0,0.03138409654793837,"Clear grading criteria,Graded by few things,Lots of homework,Get ready to read,Test heavy,Hilarious,Respected,Inspirational,",0.017728365384615384,59.0
7859,1.0,MATH,1958,851,0.4346271705822268,0.791921269095182,0.6832949471210338,6.483631022326673,3.285734430082256,2.728183229813665,2.8292682926829267,2.5365853658536586,3.1666666666666665,2.3902439024390243,0.0,,0.06489140162006016,"Lecture heavy,Lots of homework,""Skip class? You won t pass."",Tough grader,Hilarious,EXTRA CREDIT,Caring,",0.02093973442288049,41.0
9709,1.0,HUM,3744,1712,0.4572649572649573,0.6750029205607475,0.7904585280373831,6.6176168224299055,2.9245504926108365,2.721314252336449,3.2758620689655173,3.4482758620689653,2.652173913043478,3.25,0.0,2.6666666666666665,-0.004255884777282557,"Lecture heavy,Get ready to read,Amazing lectures,Caring,Respected,",0.01549145299145299,58.0
26354,1.0,PSYC,121,85,0.7024793388429752,0.835,0.9179999999999999,3.63,,,3.9459459459459465,2.972972972972973,3.7142857142857135,3.1756756756756763,0.0,2.0,0.06981071043571042,"Tough grader,",0.3057851239669421,37.0
29553,1.0,ICAM,988,519,0.5253036437246964,0.7070134874759153,0.6975549132947977,4.291098265895955,3.5584097859327213,3.184040697674418,3.272727272727273,1.7272727272727273,2.7333333333333334,1.7045454545454546,,,-0.07989612029384756,,0.022267206477732792,22.0
32593,1.0,POLI,1308,519,0.3967889908256881,0.8129036608863199,0.7632427745664739,4.915298651252408,3.3447591522158,2.902832369942196,2.5,3.647058823529412,3.6296296296296298,3.9852941176470575,,,0.19236214532109144,,0.02599388379204893,34.0
35989,1.0,MMW,2535,1484,0.5854043392504931,0.728630727762803,0.8799642857142855,6.20818059299191,3.2851212938005387,3.1558604008293023,2.685185185185185,4.018518518518518,3.210526315789473,3.898148148148149,0.75,3.9,0.25112824675324685,"Beware of pop quizzes,Accessible outside class,Caring,Hilarious,Respected,Amazing lectures,Clear grading criteria,",0.021301775147929,54.0
37152,-1.0,PSYC,3600,2006,0.5572222222222222,0.9505383848454636,0.924081256231306,5.082986041874377,3.5353222557905335,3.2278944246737837,2.788732394366197,4.028169014084507,3.3846153846153846,4.035211267605634,0.5833333333333334,3.5700000000000003,0.1814819314531756,"Amazing lectures,""Skip class? You won t pass."",Caring,Get ready to read,Accessible outside class,Tough grader,Graded by few things,Lecture heavy,Test heavy,Gives good feedback,Clear grading criteria,EXTRA CREDIT,",0.019722222222222214,71.0
37291,-1.0,REV,238,153,0.6428571428571429,0.8347647058823531,0.9795294117647059,1.46,3.9047058823529417,,3.046511627906977,4.093023255813954,3.794117647058824,4.116279069767442,0.75,3.814285714285714,0.2636101388229711,"""Skip class? You won t pass."",Lots of homework,Get ready to read,Hilarious,Participation matters,Clear grading criteria,Tough grader,Gives good feedback,Respected,Caring,",0.18067226890756305,43.0
37538,1.0,POLI,25602,7196,0.2810717912663073,0.9835831017231796,0.9915414118954974,3.5940439132851565,3.949587098568052,3.8943316156411028,1.4906832298136643,4.695652173913044,4.201612903225806,4.791925465838508,0.9629629629629628,3.9785714285714286,0.3560378824690049,"Amazing lectures,Respected,Accessible outside class,Caring,Graded by few things,Inspirational,Clear grading criteria,Hilarious,Gives good feedback,Get ready to read,",0.00628857120537458,161.0
57718,1.0,PHIL,6266,2686,0.42866262368337055,0.8566295606850336,0.9481377513030528,4.5050148920327615,3.3662472077438563,2.857371847030105,2.512396694214876,4.1652892561983474,3.3734939759036147,4.322314049586777,1.0,3.7,0.2350874512419672,"Hilarious,Clear grading criteria,Accessible outside class,Amazing lectures,Caring,EXTRA CREDIT,Get ready to read,Graded by few things,Respected,Test heavy,Lecture heavy,""Skip class? You won t pass."",Inspirational,Participation matters,Tough grader,Gives good feedback,",0.01931056495371848,121.0
58629,-1.0,PHYS,488,246,0.5040983606557377,0.8734512195121951,0.6721382113821139,6.887154471544715,3.0154471544715444,2.945606694560669,2.8,3.0,3.5,3.1,,,0.1028505291005291,,0.010245901639344263,5.0
61357,1.0,PHIL,1547,618,0.3994828700711054,0.6535533980582524,0.7126472491909386,5.003462783171521,3.1063915857605178,2.8085365853658533,3.3939393939393936,3.333333333333333,3.36,3.0303030303030303,0.0,,0.08924838664421998,"""Skip class? You won t pass."",Participation matters,Graded by few things,Get ready to read,",0.021331609566903685,33.0
62676,-1.0,MAE,1474,626,0.4246947082767977,0.90558785942492,0.9319297124600642,7.0586581469648575,3.128083067092652,2.602156549520767,3.136363636363636,4.545454545454546,3.7222222222222223,4.511363636363637,1.0,3.6666666666666665,0.2421746265999513,"Respected,Clear grading criteria,Amazing lectures,",0.02985074626865672,44.0
63531,1.0,CSE,25178,13460,0.5345936929065057,0.8528873699851416,0.7992263001485886,7.715063893016344,3.5199037433155094,3.1399928456447865,3.8470588235294123,3.223529411764706,3.87037037037037,3.1558823529411764,0.5111111111111111,3.53695652173913,0.07631638202613343,"Lecture heavy,Accessible outside class,Respected,Caring,Lots of homework,Gives good feedback,Amazing lectures,Tough grader,""Skip class? You won t pass."",Inspirational,Hilarious,Test heavy,EXTRA CREDIT,Clear grading criteria,Group projects,Get ready to read,Participation matters,",0.006751926284851855,170.0
63795,,SOCI,2419,1177,0.4865646961554361,0.8333695836873409,0.862963466440102,4.179031435853866,3.3622801024765168,3.094270724029381,3.0384615384615383,3.4615384615384617,2.555555555555556,3.3846153846153846,0.8,4.0,0.016823462252033673,"Caring,Amazing lectures,""Skip class? You won t pass."",Get ready to read,Graded by few things,EXTRA CREDIT,Clear grading criteria,Accessible outside class,",0.010748243075651096,26.0
66779,1.0,CAT,2023,911,0.4503213049925853,0.9239198682766192,0.9694709110867178,3.72178924259056,3.584566410537871,3.3915232558139534,2.072463768115942,4.492753623188406,4.051282051282051,4.659420289855072,1.0,3.94,0.2898425699367729,"Hilarious,""Skip class? You won t pass."",Inspirational,Participation matters,Respected,Gives good feedback,Caring,Amazing lectures,Test heavy,Lecture heavy,Clear grading criteria,",0.034107760751359364,69.0
66780,1.0,CAT,737,286,0.3880597014925373,0.757353146853147,0.4264755244755245,4.331083916083916,3.661643356643357,3.5127777777777776,2.421052631578948,2.3684210526315788,4.0,2.473684210526316,,,-0.029478331244778617,,0.02578018995929444,19.0
75488,1.0,INTL,1824,649,0.35581140350877194,0.8202326656394452,0.8311402157164868,4.8508628659476125,3.508674884437596,3.1420158730158727,3.4411764705882355,2.8823529411764706,3.2,2.7941176470588243,,,-0.019398239628019048,"Get ready to read,",0.01864035087719298,34.0
76370,-1.0,COGS,21846,9878,0.4521651560926485,0.8681000202470136,0.7456692650334074,4.849560639805628,3.5063646487143147,3.1961880271549066,3.0,2.8743718592964824,3.0,2.9371859296482414,0.6,3.502702702702704,0.08810599064719365,"""Skip class? You won t pass."",Participation matters,Clear grading criteria,Lots of homework,Tough grader,Gives good feedback,Hilarious,Caring,Lecture heavy,Accessible outside class,Test heavy,Respected,EXTRA CREDIT,Amazing lectures,Beware of pop quizzes,Inspirational,",0.0091092190790076,199.0
79446,1.0,INTL,360,221,0.6138888888888889,0.9072941176470588,0.8755701357466064,6.178054298642534,3.485384615384615,3.3968115942028985,2.8,4.1,3.375,4.35,,3.7,0.26489087301587305,,0.027777777777777776,10.0
84665,1.0,CHEM,567,237,0.417989417989418,0.7997130801687764,0.7808185654008439,4.973881856540085,3.362911392405063,2.741336206896552,2.9210526315789487,2.0526315789473686,3.117647058823529,2.0394736842105257,,,-0.06546168926103138,,0.06701940035273367,38.0
87151,1.0,CSE,3294,1360,0.4128718882817243,0.779895588235294,0.6147661764705878,7.636485294117647,3.400046583850932,3.0423707664884136,3.375,3.0,2.7857142857142856,2.75,0.5,4.0,0.1225868150946276,"Respected,Amazing lectures,",0.004857316332726169,16.0
88598,-1.0,PHIL,1455,708,0.4865979381443299,0.7913135593220338,0.813391242937853,5.419675141242937,3.228742937853108,2.9108061749571186,3.3225806451612905,3.4516129032258065,3.4166666666666665,3.2580645161290325,1.0,3.7,0.0799724025974026,"Clear grading criteria,""Skip class? You won t pass."",Lecture heavy,Lots of homework,Get ready to read,Caring,Gives good feedback,",0.021305841924398626,31.0
90057,1.0,CHEM,7,4,0.5714285714285714,0.75,0.5,4.5,3.75,,2.238095238095238,1.8571428571428568,2.176470588235294,1.8095238095238089,,3.5,-0.017495307382212142,,3.0,21.0
